employee_id,plan_year,pto_annual_accrual_days,pto_accrued_ytd_days,pto_used_ytd_days,pto_carryover_in_days,pto_balance_days,sick_leave_accrual_cap_hours,sick_leave_accrued_ytd_hours,sick_leave_used_ytd_hours,sick_leave_balance_hours,floating_holidays_total,floating_holidays_used,floating_holidays_remaining,as_of_date
EMP-0001,2026,25.0,16.67,7.54,4.26,13.39,72.0,19.8,9.5,10.3,2,0,2,2026-08-10
EMP-0002,2026,20.0,13.33,10.22,0.34,3.45,72.0,14.2,6.1,8.1,2,1,1,2026-08-10
EMP-0003,2026,20.0,13.33,1.44,4.45,16.34,72.0,25.3,7.5,17.8,2,2,0,2026-08-10
EMP-0004,2026,25.0,16.67,1.23,3.29,18.73,72.0,45.0,7.1,37.9,2,1,1,2026-08-10
EMP-0005,2026,20.0,13.33,2.45,3.58,14.46,72.0,24.8,4.9,19.9,2,2,0,2026-08-10
EMP-0006,2026,20.0,13.33,7.75,2.29,7.87,72.0,67.6,31.6,36.0,2,0,2,2026-08-10
EMP-0007,2026,25.0,16.67,6.87,4.99,14.79,72.0,71.8,2.6,69.2,2,0,2,2026-08-10
EMP-0008,2026,20.0,13.33,6.07,0.66,7.92,72.0,31.6,1.1,30.5,2,0,2,2026-08-10
EMP-0009,2026,20.0,13.33,4.43,0.79,9.69,72.0,61.7,21.7,40.0,2,2,0,2026-08-10
EMP-0010,2026,20.0,13.33,11.81,4.04,5.56,72.0,42.8,14.3,28.5,2,2,0,2026-08-10
EMP-0011,2026,25.0,16.67,4.49,3.32,15.5,72.0,68.2,4.6,63.6,2,0,2,2026-08-10
EMP-0012,2026,20.0,13.33,10.68,3.71,6.36,72.0,19.6,2.8,16.8,2,0,2,2026-08-10
EMP-0013,2026,25.0,16.67,10.76,1.02,6.93,72.0,49.3,6.5,42.8,2,1,1,2026-08-10
EMP-0014,2026,20.0,13.33,3.01,4.54,14.86,72.0,13.1,4.2,8.9,2,1,1,2026-08-10
EMP-0015,2026,20.0,13.33,0.53,1.67,14.47,72.0,18.1,8.9,9.2,2,0,2,2026-08-10
EMP-0016,2026,20.0,13.33,8.89,2.76,7.2,72.0,36.5,0.2,36.3,2,0,2,2026-08-10
EMP-0017,2026,25.0,16.67,14.18,3.46,5.95,72.0,19.2,0.3,18.9,2,1,1,2026-08-10
EMP-0018,2026,15.0,6.25,5.24,0.0,1.01,72.0,19.2,1.2,18.0,2,1,1,2026-08-10
EMP-0019,2026,15.0,10.0,3.28,0.0,6.72,72.0,67.9,33.0,34.9,2,0,2,2026-08-10
EMP-0020,2026,25.0,16.67,13.48,1.05,4.24,72.0,25.5,1.3,24.2,2,2,0,2026-08-10
EMP-0021,2026,15.0,10.0,7.96,0.0,2.04,72.0,35.2,10.9,24.3,2,0,2,2026-08-10
EMP-0022,2026,0.0,0.0,0.0,0.0,0.0,40.0,37.8,4.5,33.3,0,0,0,2026-08-10
EMP-0023,2026,10.0,6.67,0.98,4.0,9.69,36.0,14.6,3.0,11.6,2,0,2,2026-08-10
EMP-0024,2026,15.0,3.75,3.75,0.0,0.0,72.0,30.6,14.2,16.4,2,2,0,2026-08-10
EMP-0025,2026,15.0,7.5,7.5,0.0,0.0,72.0,60.3,8.0,52.3,2,2,0,2026-08-10
EMP-0026,2026,0.0,0.0,0.0,0.0,0.0,40.0,13.2,5.8,7.4,0,0,0,2026-08-10
EMP-0027,2026,12.0,8.0,6.18,1.11,2.93,43.199999999999996,37.1,8.5,28.6,2,1,1,2026-08-10
EMP-0028,2026,20.0,13.33,9.85,4.36,7.84,72.0,23.8,7.9,15.9,2,1,1,2026-08-10
EMP-0029,2026,0.0,0.0,0.0,0.0,0.0,40.0,19.8,8.6,11.2,0,0,0,2026-08-10
EMP-0030,2026,0.0,0.0,0.0,0.0,0.0,40.0,39.0,5.4,33.6,0,0,0,2026-08-10
EMP-0031,2026,15.0,10.0,5.77,0.0,4.23,72.0,34.8,17.1,17.7,2,2,0,2026-08-10
EMP-0032,2026,25.0,16.67,4.97,0.14,11.84,72.0,64.4,8.4,56.0,2,2,0,2026-08-10
EMP-0033,2026,15.0,10.0,8.66,0.0,1.34,72.0,26.5,1.4,25.1,2,1,1,2026-08-10
EMP-0034,2026,25.0,16.67,5.19,3.93,15.41,72.0,37.1,18.3,18.8,2,0,2,2026-08-10
EMP-0035,2026,15.0,10.0,3.47,2.88,9.41,72.0,25.8,9.1,16.7,2,0,2,2026-08-10
EMP-0037,2026,20.0,13.33,6.24,4.03,11.12,72.0,52.6,24.7,27.9,2,2,0,2026-08-10
EMP-0039,2026,0.0,0.0,0.0,0.0,0.0,40.0,30.1,5.5,24.6,0,0,0,2026-08-10
EMP-0040,2026,20.0,13.33,0.84,3.32,15.81,72.0,30.5,4.8,25.7,2,0,2,2026-08-10
EMP-0041,2026,25.0,16.67,10.8,1.5,7.37,72.0,29.2,6.0,23.2,2,1,1,2026-08-10
EMP-0042,2026,10.0,6.67,4.18,2.77,5.26,36.0,15.0,5.0,10.0,2,1,1,2026-08-10
